auc_pr,auc_roc,loss,precision,recall,val_auc_pr,val_auc_roc,val_loss,val_precision,val_recall,learning_rate
0.12565511465072632,0.554378867149353,0.08887685090303421,0.11794400960206985,0.49045801162719727,0.20080474019050598,0.6069815158843994,0.07183973491191864,0.0,0.0,0.00019999999494757503
0.1310461312532425,0.5706536769866943,0.07723157852888107,0.118809774518013,0.5333969593048096,0.1699102818965912,0.5696129202842712,0.06793209910392761,0.10760282725095749,0.9885495901107788,0.00039999998989515007
0.16970372200012207,0.6047745943069458,0.06867103278636932,0.12531380355358124,0.5715649127960205,0.2552565038204193,0.6083487272262573,0.06187110394239426,0.2286689430475235,0.2557252049446106,0.0006000000284984708
0.21118509769439697,0.6115723848342896,0.06251602619886398,0.12182116508483887,0.5667939186096191,0.28181207180023193,0.6482822895050049,0.05780438706278801,0.13560731709003448,0.6221374273300171,0.0007999999797903001
0.24497507512569427,0.6436606645584106,0.057063162326812744,0.13773848116397858,0.5648854970932007,0.2685946822166443,0.6083213090896606,0.056135475635528564,0.18597561120986938,0.2328244298696518,0.0010000000474974513
0.2790950536727905,0.6524667143821716,0.052634548395872116,0.13820582628250122,0.5791984796524048,0.2575879693031311,0.5969007015228271,0.05418179929256439,0.1650717705488205,0.2633587718009949,0.0010000000474974513
0.2966693937778473,0.6721615791320801,0.04896658658981323,0.14700977504253387,0.5887404680252075,0.2810494899749756,0.634946882724762,0.04764270409941673,0.13345521688461304,0.5572519302368164,0.0009987832745537162
0.3197082579135895,0.6714059114456177,0.0461457334458828,0.14892515540122986,0.5486640930175781,0.3004050552845001,0.6646770238876343,0.044989436864852905,0.12258737534284592,0.8969465494155884,0.000995138892903924
0.3331117630004883,0.6906248927116394,0.04318702220916748,0.155685693025589,0.6087786555290222,0.31041496992111206,0.6562780141830444,0.04337690398097038,0.1538461595773697,0.45038166642189026,0.0009890847140923142
0.35844311118125916,0.7140785455703735,0.04070844501256943,0.16840417683124542,0.6011450290679932,0.30655092000961304,0.657020092010498,0.053872596472501755,0.27547168731689453,0.2786259651184082,0.0009806501911953092
0.3605443239212036,0.7023299932479858,0.03927003964781761,0.16520844399929047,0.6125954389572144,0.35477638244628906,0.7249819040298462,0.03878886252641678,0.13933415710926056,0.8625954389572144,0.0009698764770291746
0.3801286518573761,0.7266782522201538,0.037165191024541855,0.1723092496395111,0.6507633328437805,0.346689909696579,0.722795307636261,0.036784641444683075,0.17169810831546783,0.694656491279602,0.0009568159584887326
0.368775337934494,0.7244163155555725,0.03606704622507095,0.16300496459007263,0.6583969593048096,0.34316742420196533,0.7173153162002563,0.035827308893203735,0.15163002908229828,0.7633587718009949,0.0009415323147550225
0.380788654088974,0.7371766567230225,0.034648556262254715,0.17299999296665192,0.6603053212165833,0.3332695960998535,0.7264523506164551,0.03636360913515091,0.17331813275814056,0.580152690410614,0.0009241000516340137
0.3874598443508148,0.7308540344238281,0.033925872296094894,0.1652873009443283,0.6669847369194031,0.3729134798049927,0.7420179843902588,0.033184342086315155,0.20467835664749146,0.5343511700630188,0.0009046039776876569
0.38740670680999756,0.7364599704742432,0.03272334858775139,0.1746351271867752,0.6622137427330017,0.32134732604026794,0.6500712633132935,0.034722790122032166,0.13351017236709595,0.5763359069824219,0.0008831392042338848
0.37809857726097107,0.7252891659736633,0.032849282026290894,0.16902859508991241,0.6259542107582092,0.31458067893981934,0.6890110969543457,0.03425654023885727,0.13161057233810425,0.8358778357505798,0.0008598102140240371
0.39637744426727295,0.7388890385627747,0.03156333789229393,0.17799435555934906,0.6622137427330017,0.3763940632343292,0.7474987506866455,0.03133392706513405,0.17110919952392578,0.7595419883728027,0.0008347307448275387
0.39815717935562134,0.747685432434082,0.030933426693081856,0.17313288152217865,0.6812977194786072,0.3573887348175049,0.7203859686851501,0.03159559145569801,0.16601942479610443,0.652671754360199,0.0008080229163169861
0.4088834822177887,0.7637547254562378,0.030315343290567398,0.18386860191822052,0.7156488299369812,0.3696969747543335,0.7483626008033752,0.030889203771948814,0.18975552916526794,0.6221374273300171,0.0007798168808221817
0.3940488398075104,0.7597450017929077,0.0301055945456028,0.18128938972949982,0.7137404680252075,0.3436650335788727,0.7274872064590454,0.031565193086862564,0.1698513776063919,0.6106870174407959,0.0007502500084228814
