kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_kepmag,ra,dec,catalog,target_id,label
757450,K00889.01,Kepler-75 b,CONFIRMED,8.884922995,1.636e-06,-1.636e-06,16053.4,47.4,-47.4,2.07004,0.00709,-0.00709,10.51,0.56,-0.57,0.843,0.045,-0.045,5332.0,106.0,-96.0,4.5,0.05,-0.036,15.264,291.1376,36.577381,KEPLER_CONFIRMED,757450,1
1026957,K00958.01,Kepler-1731 b,CONFIRMED,21.76129812,1.727e-05,-1.727e-05,1300.7,26.8,-26.8,1.243,0.026,-0.026,2.53,0.16,-0.1,0.72,0.047,-0.029,4859.0,97.0,-97.0,4.612,0.015,-0.045,12.559,291.25449,36.74361,KEPLER_CONFIRMED,1026957,1
1161345,K00984.01,Kepler-1973 b,CONFIRMED,4.28746668,1.524e-05,-1.524e-05,790.1,49.7,-49.7,1.5693,0.0785,-0.0785,2.29,0.22,-0.1,0.815,0.08,-0.034,5296.0,105.0,-105.0,4.576,0.015,-0.085,11.631,291.0488,36.839882,KEPLER_CONFIRMED,1161345,1
1432789,K00992.01,Kepler-745 b,CONFIRMED,9.93146307,5.186e-05,-5.186e-05,398.6,16.4,-16.4,5.678,0.127,-0.127,2.41,0.39,-0.35,1.22,0.196,-0.176,5782.0,78.0,-78.0,4.28,0.137,-0.112,15.214,291.49942,37.05928,KEPLER_CONFIRMED,1432789,1
1717722,K03145.01,Kepler-1977 b,CONFIRMED,4.53702121,2.498e-05,-2.498e-05,504.4,36.5,-36.5,1.813,0.124,-0.124,1.66,0.19,-0.11,0.688,0.079,-0.045,4805.0,144.0,-144.0,4.633,0.027,-0.059,15.689,290.61798,37.289089,KEPLER_CONFIRMED,1717722,1
1718189,K00993.02,Kepler-262 b,CONFIRMED,13.0607936,0.0001053,-0.0001053,236.6,14.1,-14.1,3.215,0.195,-0.195,1.45,0.38,-0.13,0.876,0.234,-0.078,5830.0,146.0,-161.0,4.54,0.044,-0.187,14.246,290.72867,37.252651,KEPLER_CONFIRMED,1718189,1
1718958,K04053.01,Kepler-1934 b,CONFIRMED,1.41975831,1.229e-05,-1.229e-05,60.9,8.8,-8.8,1.429,0.239,-0.239,0.85,0.13,-0.08,1.035,0.157,-0.105,5925.0,107.0,-119.0,4.394,0.084,-0.116,12.801,290.91934,37.28717,KEPLER_CONFIRMED,1718958,1
1724719,K04212.01,Kepler-1569 b,CONFIRMED,5.79179934,3.35e-05,-3.35e-05,118.5,7.2,-7.2,3.474,0.132,-0.132,1.69,0.31,-0.26,1.318,0.243,-0.199,6174.0,74.0,-86.0,4.244,0.125,-0.125,13.96,292.20471,37.221218,KEPLER_CONFIRMED,1724719,1
1725016,K01007.01,Kepler-748 b,CONFIRMED,7.40742502,3.66e-05,-3.66e-05,442.0,21.0,-21.0,3.675,0.101,-0.101,2.01,0.62,-0.21,0.961,0.297,-0.099,5922.0,184.0,-205.0,4.474,0.054,-0.216,15.242,292.26291,37.236992,KEPLER_CONFIRMED,1725016,1
1849702,K02538.01,Kepler-1854 b,CONFIRMED,39.8312536,0.0002066,-0.0002066,388.8,29.7,-29.7,2.442,0.163,-0.163,1.46,0.1,-0.06,0.759,0.05,-0.034,5026.0,100.0,-100.0,4.58,0.024,-0.048,14.125,286.28595,37.387058,KEPLER_CONFIRMED,1849702,1
1865042,K01002.01,Kepler-746 b,CONFIRMED,3.4815917,1.036e-05,-1.036e-05,135.2,6.8,-6.8,1.8069,0.0747,-0.0747,1.17,0.14,-0.15,1.022,0.129,-0.129,5405.0,108.0,-97.0,4.374,0.121,-0.088,13.615,290.68225,37.35511,KEPLER_CONFIRMED,1865042,1
1871056,K01001.01,Kepler-264 b,CONFIRMED,40.8065333,0.0002083,-0.0002083,313.9,6.2,-6.2,13.135,0.125,-0.125,3.71,0.62,-1.0,2.097,0.35,-0.569,6207.0,112.0,-125.0,3.963,0.195,-0.105,13.038,292.04462,37.37624,KEPLER_CONFIRMED,1871056,1
1872821,K02351.01,Kepler-1828 b,CONFIRMED,10.27380957,5.929e-05,-5.929e-05,352.8,20.5,-20.5,3.252,0.141,-0.141,1.68,0.16,-0.08,0.899,0.084,-0.045,5806.0,69.0,-87.0,4.528,0.023,-0.068,14.909,292.42758,37.320808,KEPLER_CONFIRMED,1872821,1
1873513,K04928.01,Kepler-1624 b,CONFIRMED,3.290304098,4.432e-06,-4.432e-06,13552.6,64.8,-64.8,1.7215,0.0126,-0.0126,4.91,0.41,-0.11,0.427,0.036,-0.009,3386.0,103.0,-33.0,4.81,0.01,-0.02,15.669,292.57986,37.376411,KEPLER_CONFIRMED,1873513,1
1995519,K02634.01,Kepler-1299 b,CONFIRMED,19.9401211,0.0001344,-0.0001344,758.9,47.1,-47.1,4.283,0.188,-0.188,2.42,0.47,-0.2,0.763,0.147,-0.063,5623.0,152.0,-169.0,4.596,0.04,-0.12,15.922,286.15015,37.411369,KEPLER_CONFIRMED,1995519,1
1996180,K02534.01,Kepler-1271 b,CONFIRMED,3.02558494,1.202e-05,-1.202e-05,128.3,5.9,-5.9,3.0008,0.0911,-0.0911,1.62,0.29,-0.25,1.263,0.232,-0.19,6123.0,122.0,-134.0,4.263,0.137,-0.112,13.925,286.3443,37.411968,KEPLER_CONFIRMED,1996180,1
2142522,K02403.01,Kepler-1224 b,CONFIRMED,13.32354078,9.754e-05,-9.754e-05,116.6,8.3,-8.3,3.873,0.183,-0.183,1.32,0.22,-0.14,1.218,0.203,-0.125,6113.0,98.0,-147.0,4.341,0.066,-0.114,12.867,286.62576,37.5373,KEPLER_CONFIRMED,2142522,1
2161536,K02130.01,Kepler-1798 b,CONFIRMED,16.85592593,6.43e-05,-6.43e-05,871.5,51.9,-51.9,2.309,0.117,-0.117,1.7,0.08,-0.1,0.587,0.026,-0.035,3967.0,79.0,-79.0,4.674,0.032,-0.017,15.661,291.7262,37.5289,KEPLER_CONFIRMED,2161536,1
2164169,K01029.01,Kepler-1732 b,CONFIRMED,32.3122867,0.0001736,-0.0001736,677.8,22.6,-22.6,6.569,0.208,-0.208,4.84,0.79,-1.06,1.494,0.244,-0.326,5821.0,79.0,-79.0,4.108,0.182,-0.098,14.757,292.29099,37.580799,KEPLER_CONFIRMED,2164169,1
2165002,K00999.02,Kepler-263 c,CONFIRMED,47.3329299,0.0003456,-0.0003456,931.5,70.1,-70.1,2.708,0.168,-0.168,2.18,0.13,-0.09,0.716,0.04,-0.032,4987.0,80.0,-80.0,4.602,0.024,-0.038,15.391,292.46976,37.567791,KEPLER_CONFIRMED,2165002,1
2302548,K00988.02,Kepler-261 c,CONFIRMED,24.5709023,0.0001009,-0.0001009,764.2,31.7,-31.7,3.587,0.181,-0.181,2.82,0.2,-0.12,0.78,0.055,-0.035,5095.0,101.0,-101.0,4.566,0.032,-0.052,13.562,291.36478,37.609169,KEPLER_CONFIRMED,2302548,1
2304320,K02033.01,Kepler-1064 b,CONFIRMED,16.54081386,4.043e-05,-4.043e-05,370.0,12.8,-12.8,2.5996,0.064,-0.064,1.57,0.1,-0.08,0.769,0.049,-0.038,5064.0,101.0,-101.0,4.572,0.028,-0.048,13.755,291.74164,37.688938,KEPLER_CONFIRMED,2304320,1
2307415,K02053.02,Kepler-356 b,CONFIRMED,4.6126736,1.208e-05,-1.208e-05,133.2,4.3,-4.3,3.0643,0.0681,-0.0681,1.6,0.29,-0.24,1.277,0.23,-0.188,6140.0,123.0,-135.0,4.265,0.125,-0.125,12.992,292.42108,37.682819,KEPLER_CONFIRMED,2307415,1
2438264,K00440.01,Kepler-156 c,CONFIRMED,15.90688891,2.554e-05,-2.554e-05,924.7,13.4,-13.4,3.9879,0.044,-0.044,2.35,0.16,-0.12,0.797,0.052,-0.042,5097.0,101.0,-101.0,4.554,0.036,-0.05,14.172,290.29651,37.749489,KEPLER_CONFIRMED,2438264,1
2438513,K01944.01,Kepler-1777 b,CONFIRMED,12.18420006,4.127e-05,-4.127e-05,499.3,22.5,-22.5,2.5014,0.0863,-0.0863,2.59,0.39,-0.29,1.068,0.161,-0.12,5771.0,104.0,-115.0,4.374,0.105,-0.105,13.982,290.32867,37.72311,KEPLER_CONFIRMED,2438513,1
2439243,K02280.01,Kepler-1172 b,CONFIRMED,26.0203329,0.0001869,-0.0001869,1164.4,55.7,-55.7,4.965,0.147,-0.147,4.53,0.71,-0.87,1.244,0.196,-0.24,5624.0,84.0,-75.0,4.218,0.188,-0.101,15.889,290.47452,37.766602,KEPLER_CONFIRMED,2439243,1
2441495,K00166.01,Kepler-479 b,CONFIRMED,12.49340725,1.236e-05,-1.236e-05,715.7,10.8,-10.8,2.2614,0.0287,-0.0287,2.2,0.17,-0.1,0.795,0.06,-0.037,5207.0,103.0,-103.0,4.561,0.032,-0.063,13.575,291.02185,37.769791,KEPLER_CONFIRMED,2441495,1
2442448,K02812.01,Kepler-1354 b,CONFIRMED,76.6139446,0.0006187,-0.0006187,498.7,20.1,-20.1,10.22,0.207,-0.207,2.61,0.79,-0.34,1.03,0.312,-0.134,6173.0,169.0,-206.0,4.408,0.087,-0.203,14.357,291.24518,37.75906,KEPLER_CONFIRMED,2442448,1
2444412,K00103.01,Kepler-1710 b,CONFIRMED,14.91095177,1.275e-05,-1.275e-05,864.5,8.7,-8.7,3.325,0.024,-0.024,2.62,0.33,-0.17,0.899,0.114,-0.057,5650.0,101.0,-112.0,4.5,0.045,-0.105,12.593,291.68335,37.751591,KEPLER_CONFIRMED,2444412,1
2556650,K02156.01,Kepler-1124 b,CONFIRMED,2.852348262,2.926e-06,-2.926e-06,1402.9,59.1,-59.1,0.7051,0.0395,-0.0395,1.66,0.18,-0.2,0.433,0.047,-0.052,3731.0,74.0,-81.0,4.83,0.055,-0.055,15.959,286.59427,37.891258,KEPLER_CONFIRMED,2556650,1
2557816,K00488.01,Kepler-575 b,CONFIRMED,9.3789167,2.173e-05,-2.173e-05,563.5,15.1,-15.1,3.3427,0.0617,-0.0617,2.03,0.41,-0.27,0.808,0.162,-0.108,5684.0,170.0,-170.0,4.493,0.112,-0.138,14.72,286.9639,37.829708,KEPLER_CONFIRMED,2557816,1
2571238,K00084.01,Kepler-19 b,CONFIRMED,9.286964466,3.831e-06,-3.831e-06,691.7,3.2,-3.2,3.3649,0.0145,-0.0145,2.1,0.26,-0.1,0.81,0.099,-0.04,5546.0,100.0,-111.0,4.575,0.018,-0.102,11.898,290.42081,37.851799,KEPLER_CONFIRMED,2571238,1
2574338,K01030.01,Kepler-1733 b,CONFIRMED,9.22961384,4.278e-05,-4.278e-05,492.1,29.7,-29.7,2.235,0.117,-0.117,2.79,0.47,-0.19,1.252,0.212,-0.085,6320.0,75.0,-88.0,4.347,0.032,-0.12,15.399,291.13849,37.859299,KEPLER_CONFIRMED,2574338,1
2581316,K03681.01,Kepler-1514 b,CONFIRMED,217.83184293,8.507e-05,-8.507e-05,9148.7,7.8,-7.8,21.306,0.0132,-0.0132,11.17,2.03,-0.81,1.167,0.212,-0.085,6259.0,99.0,-136.0,4.385,0.034,-0.128,11.69,292.62747,37.860142,KEPLER_CONFIRMED,2581316,1
2581554,K03835.01,Kepler-1521 b,CONFIRMED,47.1484324,8.172e-05,-8.172e-05,1113.8,23.9,-23.9,3.1347,0.0603,-0.0603,2.58,0.14,-0.13,0.734,0.039,-0.039,4975.0,100.0,-100.0,4.579,0.038,-0.031,12.86,292.69028,37.83498,KEPLER_CONFIRMED,2581554,1
2584163,K01031.01,Kepler-754 b,CONFIRMED,14.5598556,0.0001612,-0.0001612,290.6,20.6,-20.6,5.624,0.246,-0.246,1.64,0.49,-0.21,0.966,0.287,-0.123,5959.0,167.0,-188.0,4.46,0.067,-0.202,15.16,293.25412,37.846191,KEPLER_CONFIRMED,2584163,1
2692377,K00299.01,Kepler-98 b,CONFIRMED,1.541676547,1.139e-06,-1.139e-06,296.5,3.7,-3.7,1.9118,0.0213,-0.0213,1.88,0.27,-0.28,1.089,0.161,-0.161,5533.0,110.0,,4.337,0.132,-0.108,12.899,285.66165,37.9645,KEPLER_CONFIRMED,2692377,1
2693736,K01976.01,Kepler-1034 b,CONFIRMED,12.12401737,3.197e-05,-3.197e-05,788.4,22.9,-22.9,3.3091,0.0679,-0.0679,2.37,0.11,-0.2,0.87,0.042,-0.072,5094.0,83.0,-76.0,4.469,0.082,-0.033,15.09,286.11536,37.966999,KEPLER_CONFIRMED,2693736,1
2713049,K00794.01,Kepler-683 b,CONFIRMED,2.539183147,5.073e-06,-5.073e-06,382.1,11.4,-11.4,2.4282,0.0559,-0.0559,2.06,0.29,-0.28,1.062,0.154,-0.14,5519.0,82.0,-74.0,4.35,0.126,-0.103,15.026,291.43997,37.905659,KEPLER_CONFIRMED,2713049,1
2715135,K01024.01,Kepler-753 b,CONFIRMED,5.747711909,7.488e-06,-7.488e-06,820.1,18.5,-18.5,1.8923,0.04,-0.04,1.86,0.07,-0.09,0.632,0.025,-0.031,4252.0,84.0,-84.0,4.64,0.03,-0.017,14.496,291.90326,37.90229,KEPLER_CONFIRMED,2715135,1
2715695,K03077.01,Kepler-1899 b,CONFIRMED,4.09578199,2.002e-05,-2.002e-05,405.5,37.4,-37.4,1.704,0.12,-0.12,1.64,0.12,-0.13,0.742,0.054,-0.059,4791.0,143.0,-129.0,4.577,0.045,-0.036,15.958,292.03348,37.974548,KEPLER_CONFIRMED,2715695,1
2716801,K03053.01,Kepler-1419 b,CONFIRMED,42.5217006,0.0005942,-0.0005942,685.6,49.1,-49.1,5.723,0.253,-0.253,2.45,0.75,-0.25,0.914,0.281,-0.094,5911.0,177.0,-195.0,4.519,0.048,-0.204,15.761,292.25464,37.97142,KEPLER_CONFIRMED,2716801,1
2716853,K01022.01,Kepler-752 b,CONFIRMED,18.82744023,7.934e-05,-7.934e-05,1006.2,36.2,-36.2,4.664,0.106,-0.106,2.7,0.78,-0.25,0.86,0.246,-0.082,5687.0,169.0,-169.0,4.538,0.046,-0.184,15.762,292.26813,37.955639,KEPLER_CONFIRMED,2716853,1
2717158,K03459.01,Kepler-1922 b,CONFIRMED,13.2226149,0.0001685,-0.0001685,261.7,23.1,-23.1,4.337,0.201,-0.201,1.75,0.46,-0.16,0.863,0.231,-0.077,5931.0,161.0,-178.0,4.545,0.044,-0.187,15.208,292.33035,37.997059,KEPLER_CONFIRMED,2717158,1
2718778,K02489.01,Kepler-1844 b,CONFIRMED,3.92453009,1.673e-05,-1.673e-05,463.5,20.8,-20.8,3.691,0.107,-0.107,1.82,0.45,-0.16,0.849,0.209,-0.075,5776.0,181.0,-201.0,4.554,0.042,-0.168,15.708,292.6904,37.93457,KEPLER_CONFIRMED,2718778,1
2721030,K01094.01,Kepler-766 b,CONFIRMED,6.10027621,1.621e-05,-1.621e-05,766.6,19.6,-19.6,4.7476,0.0647,-0.0647,2.59,0.82,-0.28,0.937,0.299,-0.1,5957.0,195.0,-195.0,4.506,0.039,-0.208,15.678,293.18454,37.969841,KEPLER_CONFIRMED,2721030,1
2831055,K04400.01,Kepler-1601 b,CONFIRMED,2.20923119,1.472e-05,-1.472e-05,59.8,4.9,-4.9,2.392,0.168,-0.168,0.84,0.26,-0.11,1.092,0.33,-0.152,5991.0,163.0,-199.0,4.375,0.105,-0.195,13.764,285.51294,38.079739,KEPLER_CONFIRMED,2831055,1
2832589,K01942.01,Kepler-1978 b,CONFIRMED,10.84969477,2.777e-05,-2.777e-05,1122.1,27.5,-27.5,3.474,0.0673,-0.0673,2.67,0.38,-0.21,0.778,0.112,-0.06,5251.0,158.0,-158.0,4.592,0.032,-0.097,15.409,286.00674,38.009541,KEPLER_CONFIRMED,2832589,1
2837111,K01110.01,Kepler-771 b,CONFIRMED,8.7348852,4.425e-05,-4.425e-05,270.7,11.7,-11.7,4.49,0.13,-0.13,1.59,0.52,-0.17,0.96,0.314,-0.105,5982.0,160.0,-195.0,4.493,0.054,-0.216,14.794,287.44409,38.088428,KEPLER_CONFIRMED,2837111,1
2849805,K01116.01,Kepler-773 b,CONFIRMED,3.749105745,7.011e-06,-7.011e-06,182.6,5.7,-5.7,1.9826,0.0371,-0.0371,1.68,0.26,-0.13,0.983,0.149,-0.08,5751.0,104.0,-115.0,4.447,0.063,-0.117,13.333,290.88467,38.057571,KEPLER_CONFIRMED,2849805,1
2853093,K01099.01,Kepler-767 b,CONFIRMED,161.5278347,0.0003206,-0.0003206,4653.6,99.6,-99.6,3.6734,0.0575,-0.0575,8.19,1.36,-1.23,1.213,0.201,-0.183,5778.0,78.0,-78.0,4.285,0.137,-0.112,15.435,291.57916,38.035831,KEPLER_CONFIRMED,2853093,1
2854181,K02232.01,Kepler-1810 b,CONFIRMED,101.1323475,0.0005876,-0.0005876,1502.9,61.9,-61.9,4.366,0.136,-0.136,3.87,0.5,-0.41,1.016,0.131,-0.108,5492.0,82.0,-74.0,4.389,0.105,-0.095,15.331,291.81302,38.088181,KEPLER_CONFIRMED,2854181,1
2854698,K00986.01,Kepler-260 b,CONFIRMED,8.18739443,1.944e-05,-1.944e-05,517.6,14.7,-14.7,3.0472,0.0596,-0.0596,1.92,0.13,-0.14,0.849,0.056,-0.063,5251.0,105.0,-105.0,4.494,0.072,-0.048,14.138,291.92596,38.014118,KEPLER_CONFIRMED,2854698,1
2854914,K01113.01,Kepler-268 b,CONFIRMED,25.93406406,7.912e-05,-7.912e-05,414.5,11.0,-11.0,4.6142,0.0732,-0.0732,2.48,0.42,-0.34,1.225,0.207,-0.17,5952.0,119.0,-119.0,4.287,0.12,-0.12,13.703,291.97617,38.05508,KEPLER_CONFIRMED,2854914,1
2857607,K04659.01,Kepler-1965 b,CONFIRMED,41.8681996,0.0007404,-0.0007404,150.7,13.9,-13.9,5.783,0.312,-0.312,1.25,0.33,-0.11,0.837,0.223,-0.074,5852.0,140.0,-158.0,4.559,0.035,-0.184,13.664,292.51468,38.02206,KEPLER_CONFIRMED,2857607,1
2975770,K01788.01,Kepler-951 b,CONFIRMED,71.52543938,9.47e-05,-9.47e-05,5904.3,59.5,-59.5,5.9189,0.0564,-0.0564,5.76,0.22,-0.35,0.778,0.029,-0.047,4855.0,77.0,-87.0,4.542,0.056,-0.02,14.521,287.73755,38.114559,KEPLER_CONFIRMED,2975770,1
2985767,K02032.01,Kepler-1063 b,CONFIRMED,14.07969236,3.103e-05,-3.103e-05,169.5,7.8,-7.8,1.375,0.0636,-0.0636,2.08,0.36,-0.55,1.547,0.27,-0.406,5821.0,78.0,-78.0,4.097,0.221,-0.102,12.261,290.52676,38.142979,KEPLER_CONFIRMED,2985767,1
2987027,K00197.01,Kepler-489 b,CONFIRMED,17.276296682,2.394e-06,-2.394e-06,10458.0,13.9,-13.9,3.94738,0.0042,-0.0042,7.31,0.47,-0.3,0.738,0.048,-0.03,4941.0,98.0,-98.0,4.599,0.018,-0.049,14.018,290.83313,38.184349,KEPLER_CONFIRMED,2987027,1
2989404,K01824.01,Kepler-323 c,CONFIRMED,3.553831111,4.5e-06,-4.5e-06,191.8,2.7,-2.7,3.1029,0.0314,-0.0314,1.62,0.27,-0.18,1.081,0.18,-0.12,6015.0,108.0,-132.0,4.37,0.095,-0.116,12.722,291.38223,38.127468,KEPLER_CONFIRMED,2989404,1
2990873,K02335.01,Kepler-1194 b,CONFIRMED,16.22378479,7.758e-05,-7.758e-05,262.3,14.5,-14.5,2.5462,0.0984,-0.0984,1.51,0.19,-0.12,0.925,0.12,-0.07,5547.0,110.0,,4.46,0.068,-0.102,14.129,291.69955,38.145271,KEPLER_CONFIRMED,2990873,1
2995392,K03379.01,Kepler-1484 b,CONFIRMED,30.4544418,0.000445,-0.000445,472.1,29.9,-29.9,6.896,0.192,-0.192,2.6,0.82,-0.29,0.984,0.312,-0.111,6283.0,176.0,-220.0,4.472,0.054,-0.216,15.268,292.68427,38.126282,KEPLER_CONFIRMED,2995392,1
3098810,K01878.01,Kepler-1773 b,CONFIRMED,40.80957343,9.427e-05,-9.427e-05,436.1,12.5,-12.5,3.158,0.127,-0.127,3.44,0.58,-0.34,1.3,0.219,-0.128,6183.0,110.0,-134.0,4.301,0.066,-0.114,12.988,286.22324,38.258171,KEPLER_CONFIRMED,3098810,1
3102384,K00273.01,Kepler-454 b,CONFIRMED,10.573751447,8.488e-06,-8.488e-06,298.9,4.3,-4.3,1.7259,0.0182,-0.0182,2.07,0.05,-0.07,1.08,0.027,-0.033,5720.0,77.0,-77.0,4.4,0.012,-0.012,11.457,287.47852,38.22884,KEPLER_CONFIRMED,3102384,1
3103227,K04091.01,Kepler-1550 b,CONFIRMED,225.585245,0.00358,-0.00358,754.9,46.5,-46.5,11.166,0.382,-0.382,3.71,0.64,-0.58,1.363,0.236,-0.212,5929.0,77.0,-77.0,4.243,0.138,-0.112,14.9,287.76456,38.294701,KEPLER_CONFIRMED,3103227,1
3109930,K01112.01,Kepler-1736 b,CONFIRMED,37.8102649,0.0002147,-0.0002147,570.3,18.2,-18.2,8.733,0.132,-0.132,2.33,0.72,-0.29,0.973,0.302,-0.121,6085.0,182.0,-200.0,4.451,0.081,-0.202,14.633,289.7767,38.26228,KEPLER_CONFIRMED,3109930,1
3114167,K00795.01,Kepler-684 b,CONFIRMED,6.770300385,9.537e-06,-9.537e-06,1304.0,29.7,-29.7,2.0844,0.0454,-0.0454,2.77,0.46,-0.15,0.679,0.112,-0.037,5653.0,166.0,-166.0,4.656,0.028,-0.112,15.591,290.87051,38.273628,KEPLER_CONFIRMED,3114167,1
3114811,K01117.01,Kepler-774 b,CONFIRMED,11.08956602,4.397e-05,-4.397e-05,148.1,4.4,-4.4,6.2877,0.0965,-0.0965,3.51,0.36,-1.01,2.867,0.295,-0.826,6353.0,128.0,-115.0,3.698,0.248,-0.078,12.808,291.03192,38.21196,KEPLER_CONFIRMED,3114811,1
3116412,K01115.01,Kepler-772 b,CONFIRMED,12.99204853,5.157e-05,-5.157e-05,270.6,8.0,-8.0,6.0175,0.0963,-0.0963,2.03,0.3,-0.34,1.242,0.188,-0.209,5765.0,105.0,-116.0,4.236,0.168,-0.112,13.974,291.42358,38.216591,KEPLER_CONFIRMED,3116412,1
3118797,K01950.01,Kepler-1024 b,CONFIRMED,66.4159789,0.0003626,-0.0003626,2053.2,67.3,-67.3,7.061,0.133,-0.133,3.44,0.65,-0.28,0.759,0.143,-0.061,5383.0,204.0,-185.0,4.603,0.03,-0.12,15.983,291.95099,38.251701,KEPLER_CONFIRMED,3118797,1
3120355,K02099.01,Kepler-1094 b,CONFIRMED,78.0998908,0.0006627,-0.0006627,656.9,30.5,-30.5,8.422,0.197,-0.197,3.37,0.57,-0.56,1.284,0.215,-0.215,5779.0,78.0,-78.0,4.238,0.143,-0.117,14.999,292.30124,38.26704,KEPLER_CONFIRMED,3120355,1
3120904,K03277.01,Kepler-1452 b,CONFIRMED,42.9136635,0.0003306,-0.0003306,160.6,10.1,-10.1,5.227,0.166,-0.166,3.19,0.38,-0.83,2.483,0.299,-0.648,6049.0,121.0,-121.0,3.8,0.21,-0.07,13.062,292.42282,38.266331,KEPLER_CONFIRMED,3120904,1
3122913,K02490.01,Kepler-1845 b,CONFIRMED,11.60653061,6.084e-05,-6.084e-05,771.7,50.4,-50.4,2.194,0.119,-0.119,1.88,0.07,-0.11,0.701,0.027,-0.041,4703.0,74.0,-84.0,4.582,0.049,-0.017,15.701,292.90161,38.297081,KEPLER_CONFIRMED,3122913,1
3128552,K02055.03,Kepler-1073 d,CONFIRMED,2.50475282,1.144e-05,-1.144e-05,181.1,10.6,-10.6,2.376,0.111,-0.111,1.48,0.22,-0.25,1.116,0.169,-0.186,5509.0,82.0,-74.0,4.308,0.156,-0.104,14.523,294.15271,38.23304,KEPLER_CONFIRMED,3128552,1
3217264,K00401.03,Kepler-149 c,CONFIRMED,55.3291399,0.0005174,-0.0005174,325.7,16.0,-16.0,6.918,0.215,-0.215,1.67,0.19,-0.13,0.94,0.11,-0.073,5376.0,107.0,-107.0,4.462,0.06,-0.09,14.001,285.85367,38.384121,KEPLER_CONFIRMED,3217264,1
3218908,K01108.01,Kepler-770 b,CONFIRMED,18.92537246,5.231e-05,-5.231e-05,640.9,16.5,-16.5,3.9835,0.0683,-0.0683,13.92,2.0,-4.66,4.885,0.701,-1.636,4941.0,49.0,-118.0,3.317,0.21,-0.105,14.604,286.49042,38.374908,KEPLER_CONFIRMED,3218908,1
3219995,K02314.01,Kepler-1187 b,CONFIRMED,18.87058705,6.734e-05,-6.734e-05,588.0,23.6,-23.6,3.4701,0.0799,-0.0799,2.67,0.85,-0.28,0.949,0.303,-0.101,6103.0,181.0,-200.0,4.496,0.04,-0.229,14.562,286.892,38.31855,KEPLER_CONFIRMED,3219995,1
3229150,K02150.01,Kepler-1979 b,CONFIRMED,18.5084526,0.0001311,-0.0001311,758.9,28.7,-28.7,6.596,0.249,-0.249,29.33,8.82,-2.94,0.938,0.282,-0.094,5942.0,176.0,-193.0,4.506,0.039,-0.208,15.253,289.84286,38.309601,KEPLER_CONFIRMED,3229150,1
3231341,K01102.02,Kepler-24 b,CONFIRMED,8.14515981,4.38e-05,-4.38e-05,446.8,17.4,-17.4,5.073,0.513,-0.513,3.43,0.5,-0.7,1.24,0.183,-0.251,5896.0,117.0,-105.0,4.197,0.195,-0.105,14.925,290.41327,38.34375,KEPLER_CONFIRMED,3231341,1
3234598,K02413.02,Kepler-383 c,CONFIRMED,31.2012202,0.0003489,-0.0003489,360.1,28.6,-28.6,4.077,0.216,-0.216,1.47,0.04,-0.08,0.722,0.021,-0.038,4513.0,71.0,-80.0,4.574,0.048,-0.012,15.07,291.34259,38.363129,KEPLER_CONFIRMED,3234598,1
3234843,K03057.01,Kepler-405 c,CONFIRMED,29.72722,0.0002016,-0.0002016,1010.2,55.5,-55.5,3.45,0.146,-0.146,3.02,0.91,-0.29,0.877,0.264,-0.083,5815.0,163.0,-204.0,4.54,0.048,-0.192,15.855,291.40945,38.340019,KEPLER_CONFIRMED,3234843,1
3239671,K02066.01,Kepler-1678 b,CONFIRMED,147.97391,0.00116,-0.00116,1267.1,53.5,-53.5,6.854,0.168,-0.168,3.33,0.43,-0.29,0.95,0.123,-0.082,5578.0,100.0,-111.0,4.44,0.09,-0.099,14.904,292.59164,38.399658,KEPLER_CONFIRMED,3239671,1
3239945,K00490.04,Kepler-167 d,CONFIRMED,21.803708,0.0001361,-0.0001361,246.4,14.4,-14.4,3.369,0.157,-0.157,1.11,0.09,-0.03,0.692,0.054,-0.021,4799.0,95.0,-95.0,4.631,0.012,-0.048,14.023,292.65842,38.34539,KEPLER_CONFIRMED,3239945,1
3240158,K01106.02,Kepler-769 c,CONFIRMED,15.9868932,0.0002828,-0.0002828,178.5,18.3,-18.3,4.158,0.538,-0.538,1.62,0.25,-0.15,1.176,0.184,-0.107,6049.0,72.0,-91.0,4.353,0.076,-0.114,14.818,292.7131,38.358212,KEPLER_CONFIRMED,3240158,1
3244792,K04347.01,Kepler-1592 b,CONFIRMED,3.0570982,2.163e-05,-2.163e-05,144.0,10.6,-10.6,3.571,0.165,-0.165,0.99,0.25,-0.09,0.819,0.209,-0.07,6021.0,161.0,-179.0,4.57,0.032,-0.189,14.803,293.85065,38.397751,KEPLER_CONFIRMED,3244792,1
3245969,K01101.01,Kepler-768 b,CONFIRMED,11.39102358,8.858e-05,-8.858e-05,448.6,50.8,-50.8,2.303,0.198,-0.198,1.67,0.21,-0.12,0.728,0.092,-0.05,4983.0,150.0,-150.0,4.617,0.025,-0.075,15.681,294.11566,38.393478,KEPLER_CONFIRMED,3245969,1
