kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_kepmag,ra,dec,catalog,target_id,label
10360722,K04051.01,Kepler-1545 b,CONFIRMED,163.692336,0.001319,-0.001319,1138.0,60.7,-60.7,6.853,0.189,-0.189,2.75,0.11,-0.21,0.843,0.035,-0.065,4999.0,79.0,-79.0,4.49,0.077,-0.028,15.031,298.89877,47.463089,KEPLER_CONFIRMED,10360722,1
10363115,K03908.01,Kepler-1929 b,CONFIRMED,59.3627946,0.0003499,-0.0003499,233.6,5.2,-5.2,13.972,0.138,-0.138,2.23,0.35,-0.49,1.471,0.233,-0.321,5786.0,115.0,-104.0,4.106,0.188,-0.101,12.07,299.58337,47.448078,KEPLER_CONFIRMED,10363115,1
10384798,K01997.01,Kepler-1043 b,CONFIRMED,38.505224,0.0001776,-0.0001776,695.2,22.4,-22.4,5.941,0.104,-0.104,2.45,0.68,-0.24,0.881,0.243,-0.087,5974.0,161.0,-161.0,4.504,0.062,-0.188,14.777,281.66299,47.568581,KEPLER_CONFIRMED,10384798,1
10386922,K00289.01,Kepler-511 c,CONFIRMED,26.62941953,4.592e-05,-4.592e-05,492.8,5.2,-5.2,7.8709,0.0565,-0.0565,3.13,0.49,-0.66,1.417,0.219,-0.301,5866.0,105.0,-105.0,4.117,0.195,-0.105,12.747,282.94565,47.574905,KEPLER_CONFIRMED,10386922,1
10386984,K00739.01,Kepler-658 b,CONFIRMED,1.287076693,1.2e-06,-1.2e-06,729.4,13.7,-13.7,1.4942,0.0279,-0.0279,1.39,0.08,-0.12,0.525,0.03,-0.045,3736.0,75.0,-84.0,4.724,0.046,-0.021,15.488,282.9838,47.57859,KEPLER_CONFIRMED,10386984,1
10387742,K02583.01,Kepler-1998 b,CONFIRMED,3.03267135,1.374e-05,-1.374e-05,42.4,3.2,-3.2,1.774,0.122,-0.122,0.6,0.08,-0.04,0.921,0.131,-0.061,5640.0,101.0,-113.0,4.492,0.045,-0.113,12.623,283.42911,47.59251,KEPLER_CONFIRMED,10387742,1
10388286,K00596.01,Kepler-617 b,CONFIRMED,1.682695938,1.253e-06,-1.253e-06,703.8,11.2,-11.2,1.3867,0.023,-0.023,1.23,0.1,-0.14,0.47,0.041,-0.051,3669.0,73.0,-91.0,4.787,0.054,-0.041,14.818,283.74069,47.516289,KEPLER_CONFIRMED,10388286,1
10395381,K00740.01,Kepler-659 b,CONFIRMED,17.6717714,5.356e-05,-5.356e-05,918.6,29.1,-29.1,3.4202,0.0632,-0.0632,2.44,0.27,-0.17,0.687,0.075,-0.048,4869.0,131.0,-146.0,4.636,0.027,-0.063,15.556,287.60818,47.509682,KEPLER_CONFIRMED,10395381,1
10397751,K02859.02,Kepler-1371 c,CONFIRMED,2.005414293,9.872e-06,-9.872e-06,59.5,5.0,-5.0,1.934,0.129,-0.129,0.65,0.07,-0.07,0.721,0.082,-0.073,5374.0,160.0,-144.0,4.555,0.088,-0.064,13.851,288.83136,47.551991,KEPLER_CONFIRMED,10397751,1
10404582,K02147.02,Kepler-362 b,CONFIRMED,10.32736351,8.193e-05,-8.193e-05,126.9,15.3,-15.3,1.889,0.195,-0.195,1.25,0.2,-0.1,1.017,0.161,-0.08,5757.0,78.0,-86.0,4.431,0.054,-0.126,14.5,291.77164,47.5299,KEPLER_CONFIRMED,10404582,1
10407482,K04255.01,Kepler-1577 b,CONFIRMED,6.30558387,6.536e-05,-6.536e-05,193.1,24.2,-24.2,2.619,0.276,-0.276,2.52,1.36,-1.36,1.756,0.947,-0.947,4934.0,148.0,-133.0,3.927,0.658,-0.282,15.056,292.95526,47.573101,KEPLER_CONFIRMED,10407482,1
10418224,K00428.01,Kepler-40 b,CONFIRMED,6.8731664,2.165e-06,-2.165e-06,3753.8,8.4,-8.4,6.8569,0.0132,-0.0132,13.44,1.02,-1.12,2.179,0.166,-0.182,6490.0,129.0,-129.0,3.942,0.055,-0.049,14.588,296.81369,47.526611,KEPLER_CONFIRMED,10418224,1
10426656,K01161.01,Kepler-272 c,CONFIRMED,6.05729966,1.792e-05,-1.792e-05,385.2,11.8,-11.8,3.7419,0.0742,-0.0742,1.94,0.21,-0.26,1.004,0.111,-0.135,5334.0,79.0,-79.0,4.372,0.132,-0.077,14.678,299.12753,47.59383,KEPLER_CONFIRMED,10426656,1
10453588,K02484.01,Kepler-1253 b,CONFIRMED,68.8861017,0.0005576,-0.0005576,143.9,8.7,-8.7,5.925,0.227,-0.227,1.47,0.24,-0.33,1.222,0.202,-0.27,5753.0,115.0,-92.0,4.2,0.201,-0.108,12.464,283.8851,47.637218,KEPLER_CONFIRMED,10453588,1
10454313,K00532.01,Kepler-588 b,CONFIRMED,4.221626193,5.023e-06,-5.023e-06,658.0,9.0,-9.0,3.0619,0.0416,-0.0416,2.87,0.96,-0.32,0.987,0.329,-0.11,6123.0,171.0,-192.0,4.472,0.052,-0.221,14.708,284.2572,47.68895,KEPLER_CONFIRMED,10454313,1
10454632,K01877.01,Kepler-992 b,CONFIRMED,20.16037858,6.695e-05,-6.695e-05,343.6,11.2,-11.2,4.13,0.109,-0.109,1.75,0.13,-0.06,0.724,0.057,-0.022,4975.0,99.0,,4.614,0.012,-0.054,13.389,284.4303,47.641781,KEPLER_CONFIRMED,10454632,1
10460984,K00474.01,Kepler-164 c,CONFIRMED,10.94577783,2.017e-05,-2.017e-05,532.8,11.1,-11.1,3.0937,0.0445,-0.0445,2.84,0.46,-0.38,1.097,0.179,-0.146,5888.0,106.0,-117.0,4.342,0.115,-0.115,14.282,287.78085,47.62991,KEPLER_CONFIRMED,10460984,1
10464050,K01851.01,Kepler-981 b,CONFIRMED,4.469754641,8.123e-06,-8.123e-06,553.9,17.7,-17.7,1.813,0.0503,-0.0503,2.26,0.67,-0.23,0.934,0.28,-0.093,5988.0,161.0,-197.0,4.507,0.05,-0.2,14.769,289.2489,47.650101,KEPLER_CONFIRMED,10464050,1
10468885,K02589.01,Kepler-1284 b,CONFIRMED,0.664074145,1.528e-06,-1.528e-06,212.6,12.0,-12.0,1.0925,0.0599,-0.0599,1.19,0.16,-0.09,0.797,0.107,-0.063,5178.0,155.0,-139.0,4.585,0.024,-0.102,15.645,291.27899,47.687649,KEPLER_CONFIRMED,10468885,1
10468940,K01163.01,Kepler-273 b,CONFIRMED,2.936527336,5.136e-06,-5.136e-06,352.3,11.3,-11.3,1.771,0.0433,-0.0433,1.92,0.21,-0.26,1.002,0.111,-0.136,5359.0,80.0,-72.0,4.375,0.132,-0.077,14.968,291.30222,47.697762,KEPLER_CONFIRMED,10468940,1
10471515,K02961.01,Kepler-1395 b,CONFIRMED,3.7847507,4e-05,-4e-05,33.5,3.2,-3.2,2.924,0.254,-0.254,0.7,0.11,-0.08,1.206,0.199,-0.133,6017.0,107.0,-131.0,4.326,0.084,-0.116,12.581,292.33755,47.6642,KEPLER_CONFIRMED,10471515,1
10480915,K02040.01,Kepler-1785 b,CONFIRMED,19.58561177,4.526e-05,-4.526e-05,532.9,23.7,-23.7,1.755,0.111,-0.111,3.09,0.41,-0.34,0.996,0.133,-0.109,5618.0,112.0,-101.0,4.401,0.1,-0.1,14.18,295.79218,47.600101,KEPLER_CONFIRMED,10480915,1
10482160,K01170.01,Kepler-1739 b,CONFIRMED,7.34373964,1.134e-05,-1.134e-05,574.4,21.8,-21.8,1.1784,0.0466,-0.0466,1.84,0.4,-0.14,0.762,0.168,-0.056,5757.0,155.0,-155.0,4.597,0.036,-0.144,14.657,296.23215,47.678959,KEPLER_CONFIRMED,10482160,1
10489206,K00251.01,Kepler-125 b,CONFIRMED,4.164384505,2.155e-06,-2.155e-06,2338.0,20.8,-20.8,1.8464,0.028,-0.028,2.54,0.19,-0.21,0.508,0.037,-0.042,3808.0,76.0,-84.0,4.754,0.036,-0.036,14.752,298.25812,47.604939,KEPLER_CONFIRMED,10489206,1
10489345,K02266.01,Kepler-1167 b,CONFIRMED,1.003931703,2.686e-06,-2.686e-06,491.1,23.8,-23.8,1.4361,0.0634,-0.0634,1.6,0.16,-0.17,0.741,0.072,-0.079,4949.0,176.0,-176.0,4.552,0.072,-0.048,15.942,298.30273,47.694031,KEPLER_CONFIRMED,10489345,1
10513530,K00533.02,Kepler-589 c,CONFIRMED,3.52467888,3.044e-05,-3.044e-05,129.7,12.7,-12.7,2.484,0.136,-0.136,1.46,0.31,-0.2,0.916,0.194,-0.129,5372.0,160.0,-160.0,4.434,0.112,-0.154,14.68,280.64136,47.751942,KEPLER_CONFIRMED,10513530,1
10525027,K02006.01,Kepler-1049 b,CONFIRMED,3.27344784,6.177e-06,-6.177e-06,262.5,9.1,-9.1,1.7292,0.0495,-0.0495,0.81,0.07,-0.07,0.496,0.042,-0.042,3758.0,75.0,-85.0,4.769,0.04,-0.04,14.22,287.34674,47.772961,KEPLER_CONFIRMED,10525027,1
