kepid,tce_plnt_num,tce_rogue_flag,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err
11189311,1,0,81.416100,1.515920000e-04,160.863,1.614500000e-03,5.6770000e-01,2.4310000e-01,12.1000,1.7650000e-01,6.4920000e+02,1.9050e+01,3.4190000e+01,3.7070000e+00,7.1680000e-01,5.22e+02,3.080000e+01,17.56,4.14,6352.00,139.00,4.27,0.12,1.401,0.263
11199412,2,0,390.063000,-1.000000000e+00,209.005,-1.000000000e+00,1.0000000e-01,-1.0000000e+00,5.0000,-1.0000000e+00,4.0910000e+02,-1.0000e+00,-1.0000000e+00,6.3300000e+00,-1.0000000e+00,5.30e+02,-1.000000e+00,18.60,-1.00,7693.00,319.00,3.71,0.46,3.115,1.529
11199438,1,0,585.339000,1.917230000e-02,187.237,1.288560000e-02,9.9790000e-01,4.5660000e-01,16.0600,1.0110000e+00,1.1800000e+04,1.1110e+03,2.5740000e+01,1.9170000e+01,3.5340000e+01,2.24e+02,2.320000e+01,0.60,0.25,6025.00,265.00,4.47,0.21,0.999,0.296
11199438,2,0,581.935000,5.506070000e-02,191.508,8.319310000e-02,2.0250000e-02,9.3180000e+03,1.1060,1.9130000e+01,2.7070000e+03,1.0180e+04,5.2890000e+00,5.2160000e+00,2.0670000e+02,2.25e+02,2.330000e+01,0.60,0.25,6025.00,265.00,4.47,0.21,0.999,0.296
11199725,1,0,1.032960,4.479180000e-06,131.924,6.021040000e-04,9.0360000e-01,1.5330000e-01,1.5470,1.2000000e-01,1.0150000e+02,6.4920e+00,2.0930000e+01,2.2930000e+01,8.4690000e+00,0.00e+00,-1.000000e+00,0.00,-1.00,5283.00,429.00,2.35,0.03,18.960,6.307
11233743,4,0,314.785000,6.764600000e-03,135.183,1.399900000e-02,6.9690000e-01,4.8050000e+00,6.4380,2.3250000e+00,1.9920000e+02,3.7420e+01,6.5260000e+00,2.7460000e+00,3.0100000e+00,4.26e+02,4.390000e+01,7.80,3.21,7228.00,304.00,4.07,0.21,1.817,0.537
11233743,5,1,150.584000,-1.000000000e+00,253.976,-1.000000000e+00,1.0000000e-01,-1.0000000e+00,7.5000,-1.0000000e+00,1.5460000e+02,-1.0000e+00,-1.0000000e+00,2.2900000e+00,-1.0000000e+00,5.45e+02,-1.000000e+00,20.84,-1.00,7228.00,304.00,4.07,0.21,1.817,0.537
11233911,1,0,2.479950,9.222130000e-08,133.643,2.645180000e-05,8.8160000e-01,1.9780000e-02,5.6690,1.7710000e-03,1.2330000e+05,5.5670e+01,3.7770000e+03,4.1510000e+01,7.9710000e+00,1.17e+03,7.360000e+01,442.14,111.39,5391.00,160.00,4.54,0.12,0.822,0.156
11234613,1,0,466.687000,1.930950000e-02,514.088,2.412750000e-02,7.4920000e-01,1.1710000e+00,17.3100,2.1200000e+00,1.7960000e+02,2.5160e+01,7.0990000e+00,1.2580000e+00,6.3170000e-01,2.24e+02,2.010000e+01,0.60,0.22,5826.00,157.00,4.51,0.19,0.865,0.238
11234677,1,0,1.587420,4.099500000e-08,131.988,9.146680000e-06,7.0000000e-01,5.7250000e-04,2.6030,1.1930000e-03,7.5640000e+04,5.1690e+01,3.1680000e+03,3.7180000e+01,1.2520000e+01,1.89e+03,1.860000e+02,3038.77,1193.45,6440.00,192.00,4.31,0.20,1.241,0.418
