,target_id,tce_plnt_num,tce_rogue_flag,period,tce_period_err,epoch,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err,label,catalog
763,2987160,4,0,369.255,0.00313028,411.997,0.00571965,0.5042,17.85,2.953,2.953,1340.0,233.2,6.727,3.165,8.602,236.0,20.1,0.73,0.25,5551.0,166.0,4.46,0.19,0.844,0.182,0,TCE
764,2998070,5,0,24.7378,0.00583643,154.33,0.216209,0.9042,3.774,1.649,2.375,37.27,36.76,1.25,1.19,3.795,896.0,93.9,152.74,64.01,6926.0,301.0,4.19,0.2,1.665,0.549,0,TCE
765,2998070,6,0,51.832,0.000920598,175.279,0.0141587,1.0,0.1313,5.749,1.665,552.5,288.3,7.247,7.484,18.39,701.0,73.4,56.97,23.88,6926.0,301.0,4.19,0.2,1.665,0.549,0,TCE
766,2998070,7,0,26.1345,0.000287317,155.757,0.00884356,0.02575,687.1,1.668,0.8133,249.4,62.75,5.968,2.66,8.585,880.0,92.2,141.95,59.49,6926.0,301.0,4.19,0.2,1.665,0.549,0,TCE
767,2998070,8,1,54.6712,-1.0,167.207,-1.0,0.1,-1.0,3.0,-1.0,136.6,-1.0,-1.0,1.965,-1.0,688.0,-1.0,53.06,-1.0,6926.0,301.0,4.19,0.2,1.665,0.549,0,TCE
768,3101178,1,0,59.4034,0.000593613,159.798,0.00822192,0.9272,0.04054,10.12,0.4787,128.1,12.42,10.36,1.639,0.4561,570.0,56.0,24.97,9.81,6373.0,247.0,4.26,0.2,1.209,0.325,0,TCE
769,3101923,1,0,82.3225,0.00144605,133.192,0.0151654,0.7309,2.922,6.548,1.822,252.5,32.16,7.858,2.129,2.106,474.0,26.4,11.99,2.66,5997.0,81.0,4.3,0.12,1.242,0.204,0,TCE
770,3102000,1,0,57.06,3.04945e-05,164.256,0.000427277,0.003207,3.05,7.438,0.03151,66550.0,252.8,714.1,22.25,5.594,455.0,36.5,10.13,3.25,5931.0,178.0,4.54,0.16,0.863,0.217,0,TCE
771,3116601,1,0,491.26,0.0100776,343.631,0.0121747,0.8352,1.185,4.644,2.035,537.4,82.46,7.313,2.284,2.055,190.0,12.5,0.31,0.08,4971.0,149.0,4.48,0.14,0.857,0.099,0,TCE
772,3116768,1,0,599.754,0.0163038,141.169,0.0172768,0.4298,7.151,14.68,3.044,617.1,75.61,8.139,2.136,1.843,202.0,15.8,0.39,0.12,5795.0,172.0,4.55,0.16,0.848,0.197,0,TCE
773,3116989,1,0,1.42841,2.04234e-05,131.721,0.00637864,0.9057,0.5093,4.398,0.6045,22.67,3.296,7.558,0.4564,0.2632,1400.0,96.8,911.83,251.86,5329.0,160.0,4.5,0.14,0.795,0.136,0,TCE
774,2437783,1,0,7.45343,1.57372e-05,131.737,0.00126789,0.9103,0.2136,4.125,0.0397,78520.0,470.4,141.4,41.04,15.61,933.0,0.000657,179.25,0.0,5780.0,0.0,4.44,0.0,1.0,0.0,0,TCE
775,2437783,2,0,7.45331,9.97166e-05,135.498,0.00795191,0.8996,0.04855,3.988,0.204,10360.0,628.4,29.9,12.45,1.819,933.0,0.00416,179.26,0.0,5780.0,0.0,4.44,0.0,1.0,0.0,0,TCE
776,2437804,1,0,7.45318,4.43125e-05,131.76,0.00468772,1.0,0.1175,5.098,2.991,552.0,1116.0,13.65,85.3,75.2,2600.0,105.0,10740.9,1742.2,4475.0,98.0,2.33,0.03,16.75,3.186,0,TCE
777,2443827,1,0,447.432,0.0153899,544.746,0.0238704,0.7841,0.7367,11.77,1.585,270.2,36.78,7.566,1.479,0.6149,221.0,18.6,0.56,0.19,5783.0,155.0,4.55,0.17,0.818,0.217,0,TCE
778,2443969,1,0,637.417,0.0139355,265.261,0.0159639,0.645,1.992,11.68,2.109,649.6,88.17,8.069,2.669,1.403,231.0,23.6,0.67,0.27,6375.0,222.0,4.47,0.21,0.991,0.317,0,TCE
779,2444412,1,0,14.9111,1.28891e-05,141.329,0.000711069,0.9326,0.004453,3.939,0.04775,864.1,8.967,108.3,3.284,0.4176,694.0,34.5,54.99,10.92,5650.0,112.0,4.5,0.1,0.899,0.114,0,TCE
780,2452440,1,0,8.09704,4.71536e-06,138.425,0.000641601,0.6044,0.006182,5.749,0.01911,62250.0,165.1,464.0,23.47,5.724,892.0,79.3,149.6,53.24,5753.0,192.0,4.42,0.19,0.894,0.218,0,TCE
781,2452440,2,0,8.09712,3.85119e-05,134.369,0.00506243,0.8275,0.05579,5.25,0.2403,3379.0,87.36,41.2,5.84,1.438,892.0,79.3,149.6,53.24,5753.0,192.0,4.42,0.19,0.894,0.218,0,TCE
782,2452450,1,0,8.09706,1.48076e-05,138.423,0.00147037,0.9539,0.003618,5.572,0.08972,505.5,8.824,65.54,4.067,0.6448,1200.0,67.8,496.69,111.98,6573.0,79.0,4.2,0.13,1.455,0.23,0,TCE
783,2569494,4,0,70.5002,0.00423201,178.439,0.0400182,0.432,23.11,2.609,5.88,8099.0,2096.0,5.498,7.84,25.61,391.0,26.7,5.53,1.51,5311.0,204.0,4.47,0.13,0.866,0.147,0,TCE
784,2569516,1,0,45.5827,0.000448934,138.675,0.00768902,0.8727,0.8327,3.283,0.6983,77.12,8.908,8.79,2.716,1.746,957.0,153.0,198.7,127.4,7266.0,345.0,3.83,0.35,2.715,1.162,0,TCE
785,2569639,1,0,6.71558,5.42426e-05,133.706,0.00593736,0.8718,0.2732,4.069,0.2066,13.32,1.868,7.195,0.7824,0.2332,1720.0,138.0,2092.99,670.95,8243.0,340.0,4.13,0.14,1.877,0.454,0,TCE
786,2569995,1,0,80.8497,0.00349342,177.213,0.0543334,0.06974,11.56,8.595,1.243,9852.0,485.9,22.46,15.49,6.848,501.0,79.4,14.85,9.42,5511.0,183.0,4.07,0.37,1.597,0.615,0,TCE
787,2579906,3,0,25.5514,0.000518846,146.338,0.0163245,0.3561,27.31,1.668,0.5876,297.7,65.75,9.768,5.23,10.33,1220.0,221.0,527.38,381.91,7319.0,304.0,3.75,0.42,2.951,1.306,0,TCE
788,2579906,4,0,15.5045,-1.0,143.975,-1.0,0.1,-1.0,4.5,-1.0,195.1,-1.0,-1.0,4.178,-1.0,1440.0,-1.0,1026.6,-1.0,7319.0,304.0,3.75,0.42,2.951,1.306,0,TCE
789,2579906,5,0,29.6459,0.174103,150.118,4.53042,0.4988,2606.0,2.672,344.0,0.6763,50.67,0.03324,0.2521,70.05,1160.0,211.0,432.57,313.27,7319.0,304.0,3.75,0.42,2.951,1.306,0,TCE
790,2579906,6,1,50.5385,0.00781693,136.365,0.0899548,0.7491,1.365,33.88,4.123,75.36,25.21,6.857,2.779,1.68,973.0,176.0,212.41,153.82,7319.0,304.0,3.75,0.42,2.951,1.306,0,TCE
791,2584115,1,0,1.89019,2.38565e-05,132.523,0.00685376,0.9018,0.4806,5.632,1.244,76.8,9.285,8.811,0.9743,0.4773,1610.0,157.0,1578.56,615.34,6470.0,226.0,4.49,0.2,0.952,0.279,0,TCE
792,2584163,1,0,14.5598,0.000153279,135.954,0.00856381,0.8533,0.4806,5.791,0.9694,255.5,19.44,13.41,1.76,0.7469,759.0,73.8,78.35,30.48,5959.0,188.0,4.46,0.2,0.966,0.287,0,TCE
793,2584879,1,0,0.898098,3.19885e-05,131.712,0.00922562,0.1,105.7,5.163,0.3192,4.362,1.55,3.551,0.269,0.5435,2360.0,233.0,7278.51,2879.2,6392.0,244.0,4.23,0.2,1.281,0.36,0,TCE
794,2696938,6,0,302.429,0.00394104,376.582,0.00510771,0.7914,0.9376,4.961,0.9115,291.7,37.55,7.631,2.738,1.284,361.0,35.2,4.0,1.56,6484.0,178.0,4.16,0.21,1.456,0.422,0,TCE
795,2697199,1,0,332.433,0.0245672,281.731,0.0480627,0.8117,0.4578,25.51,3.105,287.8,49.98,5.693,1.68,0.614,255.0,23.5,0.99,0.37,5912.0,177.0,4.53,0.2,0.889,0.242,0,TCE
796,2697935,1,0,21.513,6.02692e-05,132.465,0.002511,1.0,0.0622,3.587,0.6263,902.0,341.4,38.83,20.24,20.02,1010.0,87.7,242.88,84.62,5088.0,141.0,3.51,0.19,3.318,0.813,0,TCE
797,2714707,2,0,3.49156,7.41763e-05,133.188,0.0152126,0.7665,1.749,9.474,2.393,250.9,31.53,9.146,2.738,1.738,1770.0,193.0,2321.25,1012.46,7261.0,314.0,4.22,0.21,1.586,0.565,0,TCE
798,2714803,1,0,0.968131,2.40472e-05,132.532,0.0109911,0.3824,16.65,9.154,1.185,18.16,2.684,7.965,0.4484,0.6473,2030.0,218.0,3984.25,1718.39,6341.0,207.0,4.45,0.22,1.033,0.349,0,TCE
799,2714807,1,0,0.710573,1.4803e-05,131.56,0.00301656,0.9,0.3511,3.103,0.2448,13.52,2.597,6.515,0.6718,0.2876,2950.0,304.0,17988.96,7409.68,7046.0,253.0,4.19,0.21,1.573,0.512,0,TCE
800,2717158,1,0,13.2226,0.000136776,144.292,0.00820432,0.9483,0.05699,4.412,0.6809,255.0,23.49,12.06,1.724,0.5022,741.0,66.4,71.17,25.53,5931.0,178.0,4.54,0.19,0.863,0.231,0,TCE
801,2717423,1,0,284.776,0.0169469,151.569,0.0506506,0.9999,1.869,4.67,4.658,4515.0,7205.0,4.407,10.88,133.8,263.0,26.8,1.13,0.46,5830.0,175.0,4.54,0.21,0.876,0.278,0,TCE
802,2717423,2,1,434.758,-1.0,409.36,-1.0,0.1,-1.0,7.5,-1.0,1922.0,-1.0,-1.0,3.815,-1.0,228.0,-1.0,0.64,-1.0,5830.0,175.0,4.54,0.21,0.876,0.278,0,TCE
803,2717423,3,0,249.925,0.00731453,373.676,0.013579,1.0,0.9764,5.873,3.535,13240.0,29290.0,14.29,18.01,48.95,275.0,28.0,1.34,0.55,5830.0,175.0,4.54,0.21,0.876,0.278,0,TCE
804,2834463,1,0,5.88839,2.93432e-05,136.027,0.00332171,0.9956,0.2024,1.385,0.5819,135.0,62.55,9.211,2.284,14.03,1130.0,113.0,379.45,152.57,6243.0,206.0,4.39,0.2,1.084,0.353,0,TCE
805,2834637,1,0,634.587,0.0183206,187.963,0.0209749,0.624,4.011,8.963,3.566,948.0,281.4,4.102,0.6293,0.6274,70.5,2.36,0.01,0.0,3236.0,42.0,5.09,0.04,0.196,0.03,0,TCE
806,2834805,1,0,25.0033,0.000260924,140.898,0.00871363,0.8181,0.7476,5.653,0.5264,66.56,8.079,8.134,1.534,0.6824,838.0,86.9,116.48,48.35,6148.0,186.0,4.05,0.23,1.685,0.428,0,TCE
807,2835274,1,1,531.799,0.0069848,324.923,0.0095995,0.6992,3.606,3.957,1.663,646.0,102.4,7.477,1.642,2.239,139.0,5.96,0.09,0.02,4204.0,138.0,4.65,0.06,0.605,0.063,0,TCE
808,2854953,7,0,31.6486,0.000516854,140.936,0.0134704,0.8411,3.729,1.534,1.674,339.1,78.87,10.27,3.579,6.607,905.0,85.2,158.79,59.78,7392.0,307.0,4.14,0.18,1.726,0.525,0,TCE
809,2855026,1,0,1.30717,9.06419e-06,132.226,0.00123961,0.9071,0.1475,1.388,0.3424,1203.0,165.8,10.53,8.196,2.372,2890.0,243.0,16403.93,5526.28,7675.0,290.0,4.05,0.17,2.015,0.492,0,TCE
810,2855026,2,0,1.30718,1.35778e-05,131.87,0.00353645,0.8991,0.06879,4.647,0.419,697.6,102.4,7.673,6.171,1.614,2890.0,243.0,16403.8,5526.24,7675.0,290.0,4.05,0.17,2.015,0.492,0,TCE
811,2855415,1,0,2.74623,0.00012256,132.88,0.0317784,0.04188,54.67,30.09,4.798,60.53,6.22,9.948,0.6472,0.3378,1260.0,118.0,599.55,224.72,6068.0,200.0,4.57,0.2,0.831,0.225,0,TCE
812,2969991,2,0,3.40947,0.000104352,133.388,0.0183197,0.6873,1.689,17.07,0.8461,11.38,2.721,4.238,0.5543,0.3083,1660.0,269.0,1810.84,1172.13,6359.0,223.0,4.05,0.38,1.54,0.578,0,TCE
813,2970580,1,1,372.286,-1.0,373.07,-1.0,0.1,-1.0,10.5,-1.0,2040.0,-1.0,-1.0,33.93,-1.0,572.0,-1.0,25.29,-1.0,4605.0,69.0,2.62,0.12,7.844,2.62,0,TCE
814,2970580,2,0,559.219,-1.0,372.382,-1.0,0.1,-1.0,15.0,-1.0,2714.0,-1.0,-1.0,39.14,-1.0,499.0,-1.0,14.7,-1.0,4605.0,69.0,2.62,0.12,7.844,2.62,0,TCE
815,2970580,3,0,379.203,0.0236777,360.884,0.0618447,0.7866,0.7112,10.18,2.944,2067.0,443.3,5.683,39.78,22.62,568.0,41.9,24.68,7.28,4605.0,69.0,2.62,0.12,7.844,2.62,0,TCE
816,2987160,5,0,349.223,-1.0,284.991,-1.0,0.1,-1.0,6.0,-1.0,1051.0,-1.0,-1.0,2.712,-1.0,240.0,-1.0,0.79,-1.0,5551.0,166.0,4.46,0.19,0.844,0.182,0,TCE
817,2987372,1,1,471.099,0.0198123,184.955,0.0254645,1.0,0.01691,31.54,16.74,294.4,399.0,14.23,6.749,7.5,525.0,59.0,17.92,8.07,10280.0,429.0,4.17,0.22,2.148,0.794,0,TCE
818,2987433,1,0,420.929,0.000109654,196.686,0.00019926,0.9054,0.02124,17.37,0.01749,84940.0,61.77,1377.0,50.23,15.09,293.0,28.0,1.75,0.67,6461.0,211.0,4.32,0.2,1.197,0.357,0,TCE
819,2987660,1,0,1.1171,1.07728e-05,132.187,0.00440492,0.9222,0.2782,4.233,1.201,144.1,15.36,11.47,5.337,3.187,3920.0,849.0,55843.62,48408.87,7524.0,313.0,3.61,0.5,3.755,1.993,0,TCE
820,2998070,9,0,29.2696,0.00047689,148.169,0.0121435,1.0,0.09569,4.607,3.569,347.3,630.8,8.163,6.021,17.24,848.0,88.8,122.05,51.15,6926.0,301.0,4.19,0.2,1.665,0.549,0,TCE
821,2998070,10,0,23.3289,0.000221613,154.216,0.00900577,0.9083,0.2388,4.023,0.942,269.5,47.28,7.337,3.205,1.31,914.0,95.8,165.16,69.22,6926.0,301.0,4.19,0.2,1.665,0.549,0,TCE
822,2998124,1,0,28.5979,1.53812e-06,152.984,4.73203e-05,0.3524,0.001583,7.7,0.002655,86950.0,29.56,4153.0,74.69,26.11,1010.0,139.0,250.57,136.85,6590.0,199.0,3.79,0.31,2.474,0.865,0,TCE
823,3102000,2,0,57.0599,0.000207987,168.766,0.00297734,0.756,0.05842,7.768,0.2024,3584.0,76.45,45.89,5.624,1.421,455.0,36.5,10.13,3.25,5931.0,178.0,4.54,0.16,0.863,0.217,0,TCE
824,3102024,1,0,13.7825,2.38918e-07,139.481,1.52947e-05,0.7096,0.009271,8.294,0.001306,249000.0,31.89,8090.0,41.45,3.992,605.0,26.4,31.74,5.54,5246.0,156.0,4.6,0.07,0.668,0.064,0,TCE
825,3102024,2,0,13.7825,2.41094e-07,135.325,1.44788e-05,0.8007,0.03921,2.996,0.0008089,176400.0,53.22,5646.0,37.5,4.038,605.0,26.4,31.74,5.54,5246.0,156.0,4.6,0.07,0.668,0.064,0,TCE
826,3102309,1,0,4.20254,0.00010192,132.3,0.0193559,0.9994,0.06877,6.608,1.193,35.83,20.63,7.484,1.273,4.872,1140.0,110.0,395.09,152.51,5596.0,186.0,4.34,0.2,1.015,0.311,0,TCE
827,3117046,1,0,359.103,0.00885155,415.311,0.0171823,0.7842,0.5671,12.04,1.524,462.5,48.22,9.387,2.472,0.8647,285.0,25.3,1.56,0.55,6373.0,207.0,4.44,0.18,1.047,0.284,0,TCE
828,3117511,1,0,0.827067,0.000507994,131.734,0.196801,0.1848,564.4,9.323,13.46,1.221,5.261,0.2725,0.2343,4.244,3310.0,478.0,28264.75,16353.09,7249.0,304.0,3.96,0.32,2.089,0.782,0,TCE
829,3117514,1,0,1.09194,1.79897e-05,131.641,0.00768417,0.8632,0.8981,7.431,1.689,53.44,6.67,8.614,0.5852,0.3855,1460.0,88.4,1075.44,260.41,5469.0,196.0,4.64,0.1,0.695,0.117,0,TCE
830,3117514,2,0,33.3695,0.000767355,157.504,0.0198795,0.7924,3.199,2.907,2.439,669.9,181.9,7.15,1.991,3.069,467.0,28.3,11.26,2.73,5469.0,196.0,4.64,0.1,0.695,0.117,0,TCE
831,2437897,1,0,3.30637,1.90843e-05,132.414,0.00339491,0.8753,1.278,1.763,0.8859,225.1,30.48,8.614,1.192,1.537,841.0,33.3,118.12,18.73,4544.0,136.0,4.61,0.06,0.661,0.058,0,TCE
832,2438061,1,0,2.44293,8.35204e-07,132.015,0.000263837,0.9328,0.03355,4.252,0.02356,31290.0,134.9,304.0,25.96,2.293,1350.0,0.000154,793.21,0.0,5780.0,0.0,4.44,0.0,1.0,0.0,0,TCE
833,2438062,1,0,2.44301,2.5475e-06,131.973,0.000925892,0.923,0.04323,4.048,0.08472,14150.0,286.3,89.51,16.1,2.425,1350.0,0.00047,793.18,0.0,5780.0,0.0,4.44,0.0,1.0,0.0,0,TCE
834,2438070,1,0,2.44294,2.62064e-06,132.013,0.00072886,0.9905,0.01464,4.058,0.07189,619.9,8.705,94.58,6.176,2.51,1590.0,229.0,1501.44,865.4,5657.0,169.0,4.12,0.34,1.428,0.488,0,TCE
835,2444769,1,0,3.00134,7.38941e-05,133.227,0.0151042,0.01327,422.7,18.08,0.8821,16.15,2.561,7.159,0.4129,0.4455,1420.0,138.0,973.53,378.29,6450.0,194.0,4.42,0.2,1.022,0.308,0,TCE
836,2444769,2,0,125.775,0.0104368,201.648,0.0368649,0.7984,1.9,5.687,2.193,292.4,48.05,9.91,1.928,1.527,410.0,39.8,6.69,2.6,6450.0,194.0,4.42,0.2,1.022,0.308,0,TCE
837,2444769,3,0,102.072,0.00298139,146.924,0.0137688,0.8554,1.325,4.921,1.789,149.9,25.52,7.794,1.417,1.132,440.0,42.7,8.84,3.43,6450.0,194.0,4.42,0.2,1.022,0.308,0,TCE
