,koi_duration,koi_depth,koi_prad,koi_ror,tce_duration,tce_depth,tce_prad,koi_steff,koi_srad,koi_smass,koi_slogg,tce_steff,tce_sradius,tce_slogg,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_model_snr,koi_max_mult_ev
7442,5.08572,176998.0,31.77,0.441434,,,,5278.0,0.659,0.723,4.658,,,,0.0,1.0,0.0,0.0,3373.3,6029.956
7443,9.25,187.5,3.76,0.013258,,,,6790.0,2.597,1.631,3.822,,,,1.0,0.0,1.0,0.0,12.9,8.71064
7444,4.14212,119350.0,35.22,0.33531,,,,5960.0,0.962,0.927,4.438,,,,0.0,1.0,0.0,0.0,1520.0,9442.416
7445,3.5116,235104.0,88.22,1.344266,,,,5340.0,0.601,0.685,4.715,,,,0.0,1.0,0.0,0.0,386.0,9092.194
7446,2.159,115.1,3.58,0.009969,,,,6705.0,3.293,1.682,3.629,,,,0.0,1.0,1.0,1.0,11.4,9.148967
7447,10.6988,119812.0,172.66,0.496418,,,,8212.0,3.185,2.016,3.736,,,,0.0,1.0,0.0,0.0,508.0,348.49265
7448,2.2432,3670.4,325.51,0.394665,,,,5037.0,7.553,2.091,3.002,,,,0.0,1.0,0.0,1.0,107.4,175.70143
7453,24.312,1025.9,2.15,0.028332,,,,4641.0,0.694,0.682,4.589,,,,0.0,0.0,1.0,1.0,37.6,14.341499
7454,4.529,275.4,5.37,0.015333,,,,6626.0,3.206,1.776,3.676,,,,1.0,0.0,0.0,0.0,10.1,
7455,8.99,742.4,2.3,0.02485,,,,5818.0,0.848,0.937,4.554,,,,0.0,0.0,0.0,0.0,16.2,12.034195
7456,3.357,117981.0,38.85,0.336264,,,,6304.0,1.058,1.11,4.435,,,,0.0,1.0,0.0,0.0,3665.4,4687.2827
7457,1.659,68.4,0.42,0.007737,,,,4604.0,0.501,0.514,4.749,,,,1.0,0.0,1.0,1.0,9.3,7.8239374
7458,2.169,186.2,1.46,0.012644,,,,6304.0,1.058,1.11,4.435,,,,0.0,0.0,1.0,0.0,11.4,11.591718
7459,6.394,133.8,2.2,0.010743,,,,7102.0,1.874,1.497,4.068,,,,1.0,0.0,0.0,0.0,11.7,
7464,1.5528,3856.2,31.12,0.325674,,,,5544.0,0.875,0.761,4.435,,,,0.0,1.0,0.0,0.0,126.1,80.96738
7465,7.6706,6155.3,18.7,0.085487,,,,5971.0,2.003,1.202,3.914,,,,1.0,0.0,1.0,0.0,239.5,525.4354
7466,5.5479,12867.3,60.59,0.387727,,,,6558.0,1.431,1.096,4.167,,,,1.0,0.0,1.0,1.0,231.4,1991.6088
7467,3.4546,41770.0,119.91,0.418487,,,,7279.0,2.624,1.8,3.856,,,,0.0,1.0,0.0,0.0,326.1,505.18005
7469,2.53163,72584.2,105.22,0.299344,,,,6651.0,3.219,1.503,3.6,,,,0.0,1.0,0.0,0.0,1594.1,9029.422
7470,7.803,37979.8,49.01,0.195145,,,,5870.0,2.3,1.239,3.808,,,,0.0,1.0,0.0,0.0,813.6,3967.372
7471,6.278,523.2,14.87,0.022446,,,,4833.0,6.065,1.81,3.13,,,,1.0,0.0,0.0,0.0,11.5,7.1892066
7472,6.8769,10939.4,38.19,0.388171,,,,5714.0,0.901,0.939,4.501,,,,0.0,1.0,1.0,0.0,364.0,1239.2777
7473,16.1937,332900.0,182.09,0.530194,,,,5147.0,3.145,0.957,3.424,,,,0.0,1.0,0.0,0.0,1767.3,3081.883
7474,4.812,649.9,4.07,0.025068,,,,6486.0,1.485,1.098,4.136,,,,0.0,0.0,0.0,0.0,20.6,13.204513
7475,5.953,620.4,3.73,0.023004,,,,6486.0,1.485,1.098,4.136,,,,0.0,0.0,0.0,0.0,17.9,13.629135
7477,4.96038,87426.1,52.18,0.277148,,,,7201.0,1.724,1.488,4.138,,,,0.0,1.0,0.0,0.0,5784.8,11840.263
7478,2.297,86.0,1.1,0.008908,,,,6461.0,1.131,1.162,4.396,,,,0.0,0.0,1.0,0.0,9.8,8.125563
7479,6.33505,121544.0,129.2,0.328562,,,,7666.0,3.601,2.153,3.658,,,,0.0,1.0,0.0,0.0,8022.8,24308.674
7480,2.09,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,
7481,1.117,275.6,1.06,0.015451,,,,4013.0,0.63,0.63,4.639,,,,0.0,0.0,1.0,0.0,10.1,36.27747
7482,0.9938,347.6,1.84,0.019024,,,,5491.0,0.887,0.776,4.432,,,,0.0,1.0,1.0,0.0,4.0,15.929204
7483,6.9735,184074.0,89.96,0.779419,,,,6300.0,1.057,1.028,4.404,,,,0.0,1.0,0.0,0.0,933.5,2830.888
7486,17.302,114.3,25.56,0.201577,,,,6769.0,1.161,1.188,4.379,,,,1.0,0.0,0.0,0.0,41.7,8.539365
7487,10.2,253.4,4.91,0.014263,,,,5295.0,3.152,1.501,3.617,,,,1.0,0.0,0.0,0.0,7.7,
7490,6.03,32609.2,32.36,0.166402,,,,6195.0,1.781,1.0,3.937,,,,0.0,1.0,0.0,0.0,674.9,1726.6969
7491,14.0841,841897.0,221.55,1.136618,,,,7026.0,1.785,1.36,4.068,,,,0.0,1.0,0.0,0.0,710.9,1259.5651
7492,1.7084,1941.7,180.8,0.351374,,,,11360.0,4.712,3.504,3.636,,,,1.0,0.0,0.0,0.0,45.8,50.83642
